Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Banquet Cook,5%,60%,20%,10%,5%,Highschool,72.0
Banquet Director,20%,30%,20%,20%,10%,Associates,72.0
Banquet Manager,20%,40%,20%,60%,40%,Associates,72.0
Banquet Set Up Person,5%,70%,10%,15%,0%,Highschool,72.0
Bar Back,5%,70%,5%,20%,0%,,72.0
Barback,5%,70%,5%,20%,0%,,72.0
Barber Apprentice,5%,60%,10%,25%,0%,Professional Certificate,81.0
Barbering Instructor,10%,40%,20%,30%,10%,Professional Certificate,61.0
"Barbers, hairstylists, and cosmetologists",5%,60%,20%,80%,5%,Professional Certificate,81.0
Barge Captain,10%,40%,20%,20%,10%,Professional Certificate,48.0
Barge Engineer,10%,40%,20%,20%,10%,Professional Certificate,48.0
Barge Master,10%,40%,20%,20%,10%,Professional Certificate,48.0
Bar Host/Hostess,5%,60%,10%,25%,0%,Highschool,72.0
Bar Hostess,5%,60%,10%,25%,0%,Highschool,72.0
Barista,10%,70%,10%,60%,5%,Highschool,72.0
Baritone,5%,30%,40%,25%,0%,Professional Certificate,71.0
Barkeep,5%,60%,10%,25%,0%,Highschool,72.0
Barn Hand,5%,70%,10%,10%,5%,,11.0
Barn Worker,5%,80%,5%,10%,0%,,11.0
Barrel Straightener,5%,70%,10%,10%,5%,Highschool,33.0
Bartenders,5%,60%,10%,25%,0%,Highschool,72.0
Baseball Coach,10%,30%,20%,30%,10%,Highschool,71.0
Baseball Scout,20%,30%,30%,20%,10%,Bachelors,71.0
Baseball Umpire,5%,60%,20%,15%,0%,Highschool,71.0
Basketball Coach,10%,20%,40%,30%,20%,Bachelors,71
Bassoonist,5%,30%,50%,15%,0%,Bachelors,71
Battery Assembler,10%,70%,10%,5%,5%,Highschool,33
Battery Builder,10%,70%,10%,5%,5%,Highschool,33
Battery Repairer,10%,60%,20%,5%,5%,Highschool,33
Beam Builder,5%,70%,10%,10%,5%,Highschool,23
Beam Builder Helper,5%,70%,10%,15%,0%,Highschool,23
Bean Roaster,5%,70%,10%,10%,5%,Highschool,31
Bean Weigher,5%,80%,5%,5%,5%,None,11
Beautician,5%,60%,10%,25%,0%,Professional Certificate,81
Bed and Breakfast Innkeeper,20%,40%,20%,60%,40%,Highschool,72
Beef Cattle Nutritionist,10%,30%,40%,10%,10%,Masters,11
Beef Farm Operator,5%,60%,10%,15%,10%,Highschool,11
Beer Coil Cleaner,5%,70%,10%,10%,5%,Highschool,72
Before and After School Daycare Worker,10%,60%,10%,80%,10%,Highschool,61
Behavioral Health Technician,20%,40%,20%,80%,10%,Associates,62
Bench Chemist,20%,40%,30%,5%,5%,Bachelors,54
Benefits Analyst,70%,20%,40%,30%,10%,Bachelors,52
Betting Clerk,40%,50%,5%,5%,0%,Highschool,71
Biblical Languages Professor,20%,20%,40%,15%,5%,PhD,61
Biblical Studies Professor,20%,20%,40%,20%,10%,PhD,61
Bicycle Designer,30%,20%,40%,5%,5%,Bachelors,33
Bilingual Education Kindergarten Teacher,20%,30%,25%,25%,5%,Bachelors,61
Bill and account collectors,70%,80%,20%,40%,10%,Highschool,56
Billboard Poster Helper,5%,70%,5%,20%,0%,Highschool,54
Bill Collector,40%,40%,10%,10%,0%,Highschool,56
Billing Clerk,70%,80%,20%,30%,10%,Highschool,52
Billing Representative,70%,60%,20%,30%,10%,Associates,52
Bingo Manager,30%,40%,10%,20%,50%,Highschool,71
Bingo Worker,10%,70%,5%,15%,0%,Highschool,71
Bio-Mechanical Engineer,40%,20%,30%,5%,5%,Masters,54
Biochemical Engineer,30%,20%,40%,10%,10%,PhD,54
Biochemist,30%,20%,40%,5%,5%,PhD,54
Biochemistry Professor,30%,20%,40%,10%,10%,PhD,61
Biochemistry Technician,30%,40%,20%,5%,5%,Bachelors,62
Biochemistry Technologist,30%,40%,20%,5%,5%,Bachelors,62
Biochemists and biophysicists,40%,20%,30%,5%,5%,PhD,54
Biodiesel Engine Specialist,20%,30%,30%,10%,10%,Bachelors,32
Bioengineers and biomedical engineers,40%,20%,30%,10%,10%,Masters,62
Biogeographer,40%,20%,30%,5%,5%,PhD,54
Biographer,40%,20%,30%,10%,0%,Bachelors,51
Biological Chemist,20%,30%,40%,5%,5%,PhD,54
Biological technicians,30%,40%,20%,10%,0%,Bachelors,54
Biology Laboratory Assistant,20%,40%,25%,10%,5%,Bachelors,61
Biomaterials Engineer,30%,20%,40%,5%,5%,PhD,62
Biomedical Electronics Technician,40%,30%,20%,5%,5%,Associates,62
Biomedical Engineer,40%,20%,30%,10%,10%,Bachelors,62
Biomedical Equipment Technician,30%,40%,20%,5%,5%,Associates,62
Biometrician,40%,20%,30%,5%,5%,Masters,54
Biophysicist,40%,20%,30%,5%,5%,PhD,54
Biostatistician,70%,10%,15%,5%,0%,PhD,62
Biostatistics Professor,40%,10%,40%,10%,0%,PhD,61
Bird Trapper,5%,70%,15%,10%,0%,Highschool,11
Blackjack Dealer,5%,70%,5%,20%,0%,Highschool,71
Blackjack Pit Boss,10%,40%,20%,20%,10%,Highschool,71
Blackjack Supervisor,10%,40%,20%,20%,10%,Highschool,71
Black Studies Professor,20%,10%,40%,20%,10%,PhD,61
Blacktop-Paver Operator,5%,70%,15%,5%,5%,Highschool,23
Blade Grader Operator,5%,70%,10%,5%,10%,Highschool,23
Blind Aide,10%,40%,20%,30%,0%,Highschool,62
Blind Escort,5%,60%,10%,25%,0%,Highschool,62
Block Layer,5%,70%,10%,15%,0%,Highschool,23
Blockmason,5%,70%,10%,15%,5%,Highschool,23
Blood Bank Laboratory Technician,40%,40%,10%,10%,0%,Associates,62
Blood Bank Laboratory Technologist,30%,40%,20%,5%,5%,Bachelors,62
Blow Mold Operator,10%,70%,10%,5%,5%,Highschool,32
Blueprint Tracer,30%,50%,10%,5%,5%,Highschool,54
BMET,40%,30%,20%,10%,0%,Associates,62
Board Certified Family Physician,20%,20%,30%,25%,5%,Doctorate,62
Boardinghouse Keeper,5%,60%,10%,20%,5%,Highschool,72
Boat Club Manager,20%,30%,20%,20%,10%,Associates,71
Boat Detailer,5%,70%,10%,15%,0%,Highschool,71
Boat Hop,5%,70%,10%,15%,0%,None,71
Boat Painter,5%,70%,15%,5%,5%,Highschool,33
Boat Pilot,10%,40%,30%,10%,10%,Professional Certificate,48
Bobtailer,10%,70%,10%,10%,0%,Highschool,48
Body and Frame Technician,10%,60%,20%,10%,0%,Professional Certificate,81
Bodyguard,10%,40%,20%,30%,0%,Highschool,56
Body Shop Worker,5%,70%,10%,10%,5%,Highschool,81
Boiler Coverer,5%,70%,10%,10%,5%,Highschool,23
Boiler Coverer Helper,5%,70%,10%,10%,5%,Highschool,23
Boiler Engineer,10%,60%,20%,10%,5%,Associates,23
Boiler Fitter,5%,70%,10%,10%,5%,Professional Certificate,23
Boilerhouse Mechanic,5%,60%,20%,10%,5%,Highschool,31
Boiler Installer,5%,70%,10%,15%,0%,Professional Certificate,23
Boilermaker Mechanic,10%,60%,20%,10%,5%,Professional Certificate,31
Boilermakers,5%,70%,10%,10%,5%,Highschool,23
Boiler Mechanic,10%,70%,10%,10%,0%,Professional Certificate,23
Boiler Operator,5%,70%,10%,10%,5%,Professional Certificate,31
Boiler Plant Operator,10%,60%,20%,5%,5%,Highschool,22
Boiler Room Operator,10%,60%,10%,10%,10%,Highschool,22
Boiler Setter,5%,70%,10%,10%,5%,Highschool,23
Boiler Tester,10%,60%,20%,10%,0%,Professional Certificate,33
Bond Underwriter,40%,30%,20%,10%,0%,Bachelors,52
Book Critic,40%,20%,30%,10%,0%,Bachelors,51
Book Editor,70%,20%,60%,30%,20%,Bachelors,51
Bookie,30%,50%,10%,10%,0%,Highschool,71
Book Illustrator,80%,20%,60%,10%,5%,Bachelors,51
Bookkeeper,70%,80%,30%,20%,10%,Associates,54
"Bookkeeping, accounting, and auditing clerks",70%,80%,40%,30%,10%,Associates,54
Book Reviewer,70%,20%,80%,10%,5%,Bachelors,51
Book Sorter,10%,70%,10%,5%,5%,None,51
Boom Crane Operator,5%,70%,15%,5%,5%,Highschool,23
Border Guard,10%,60%,10%,15%,5%,Highschool,92
Border Patrol Officer,20%,40%,20%,15%,5%,Associates,92
Bore Mill Operator for Plastic,5%,70%,15%,5%,5%,Highschool,32
Boring Mill Operator for Metal,5%,70%,15%,5%,5%,Highschool,33
Botany Professor,20%,20%,40%,20%,10%,PhD,61
Bottling Equipment Sales Representative,30%,40%,20%,60%,10%,Bachelors,42
Bouncer,5%,70%,5%,20%,0%,Highschool,71
Boxing Coach,10%,40%,20%,30%,10%,Professional Certificate,71
Brace Maker,10%,60%,20%,10%,0%,Professional Certificate,33
Braille and Talking Books Clerk,30%,40%,10%,15%,5%,Associates,51
Brain Surgeon,5%,20%,50%,20%,5%,Doctorate,62
Branch Lending Officer,30%,20%,25%,15%,10%,Bachelors,52
Brass Roller,5%,70%,10%,5%,10%,Highschool,33
Brazer,5%,70%,15%,5%,5%,Highschool,33
Brazing Machine Operator,10%,70%,10%,5%,5%,Highschool,33
Brazing Machine Setter and Setup Operator,10%,60%,20%,5%,5%,Highschool,33
Brazing Machine Tender,5%,70%,10%,5%,10%,Highschool,33
Bread Baker,5%,70%,15%,10%,0%,Highschool,31
Breaker Unit Assembler,10%,60%,20%,5%,5%,Highschool,33
Breakfast Cook,5%,80%,10%,5%,0%,Highschool,72
Brick Carrier,0%,90%,5%,5%,0%,None,23
Brick Chimney Builder,5%,70%,15%,10%,5%,Highschool,23
Bricklayer,5%,70%,10%,10%,5%,Professional Certificate,23
Bricklayer Helper,5%,80%,5%,10%,0%,None,23
Brickmason Apprentice,5%,70%,10%,10%,5%,Highschool,23
Brickmason,5%,70%,15%,10%,5%,Highschool,23
Brick Offbearer,5%,80%,5%,10%,0%,None,32
Brick Setter,5%,80%,5%,10%,0%,Highschool,23
Brick Washer,0%,90%,5%,5%,0%,None,23
Bridge Crane Operator,5%,70%,10%,10%,5%,Highschool,48
Bridge Engineer,30%,20%,40%,5%,5%,Bachelors,54
Bridge Inspector,20%,40%,30%,10%,0%,Associates,23
Bridge Ironworker,5%,70%,10%,10%,5%,Highschool,23
Bridge Ironworker Helper,5%,70%,10%,10%,5%,Highschool,23
Bridge Painter,5%,70%,10%,5%,10%,Highschool,23
Bridge Painter Helper,5%,70%,10%,10%,5%,Highschool,23
Brief Writer,70%,20%,70%,20%,10%,Bachelors,54
"Broadcast, sound, and video technicians",70%,50%,40%,30%,20%,Associates,51
Broadcast Engineer,60%,20%,10%,5%,5%,Bachelors,51
Broadcast Maintenance Engineer,40%,30%,20%,5%,5%,Associates,51
Broadcast Operations Engineer,60%,20%,10%,5%,5%,Bachelors,51
Broadcast Producer,40%,20%,20%,10%,10%,Bachelors,51
Brokerage Purchase-and-Sale Clerk,40%,40%,10%,5%,5%,Bachelors,52
Budget Analyst,70%,20%,70%,30%,10%,Bachelors,52
Budget analysts,70%,20%,70%,30%,10%,Bachelors,52
Budget Coordinator,60%,20%,10%,10%,20%,Bachelors,62
Budget Examiner,40%,30%,20%,10%,10%,Bachelors,92
Budget Officer,40%,30%,20%,10%,20%,Bachelors,92
Buffet Attendant,5%,80%,5%,10%,0%,Highschool,72
Bugler,5%,70%,10%,15%,0%,Highschool,71
Building Architect,30%,20%,30%,10%,10%,Bachelors,54
Building Architectural Designer,40%,20%,30%,5%,5%,Bachelors,54
Building Carpenter,5%,60%,20%,10%,5%,Highschool,23
Building Carpenter Helper,5%,70%,10%,10%,5%,Highschool,23
Building Code Inspector,20%,40%,20%,20%,0%,Associates,23
Building Custodian,5%,80%,5%,10%,0%,Highschool,56
Building Drafter,70%,20%,10%,10%,5%,Associates,23
Building Inspector,20%,40%,20%,20%,0%,Associates,23
Building Maintenance Mechanic,10%,60%,20%,10%,5%,Highschool,23
Building Mechanic,10%,60%,10%,15%,5%,Highschool,23
Building Rental Manager,40%,30%,10%,20%,50%,Associates,53
Building Services Mechanic,10%,40%,20%,20%,10%,Professional Certificate,23
Building Trades Instructor,10%,30%,20%,30%,10%,Professional Certificate,61
Bulk Cooler Installer,5%,60%,20%,10%,5%,Highschool,23
Bulk Mail Clerk,20%,70%,5%,5%,0%,Highschool,49
Bulk Mail Technician,30%,50%,10%,5%,5%,Highschool,49
Bulldozer Mechanic,10%,60%,20%,10%,0%,Professional Certificate,81
Burlesque Dancer,5%,30%,40%,25%,0%,None,71
Bus Cleaner,5%,90%,5%,10%,0%,None,48
Bus drivers,5%,70%,10%,10%,5%,Highschool,48
Business Administration Professor,40%,20%,30%,60%,20%,PhD,61
Business Analyst,70%,20%,60%,40%,20%,Bachelors,54
Business Consultant,40%,20%,30%,60%,50%,Masters,54
Business Intelligence Developer,90%,30%,60%,20%,10%,Bachelors,54
Business Management Analyst,70%,10%,50%,40%,30%,Bachelors,54
Business Office Manager,40%,30%,20%,40%,60%,Bachelors,54
Business Process Consultant,70%,10%,60%,40%,20%,Masters,54
Business Unit Manager,40%,20%,20%,60%,60%,Bachelors,54
Bus Person,5%,80%,5%,10%,0%,None,72
Busser,5%,80%,5%,10%,0%,None,72
Bus Washer,5%,90%,5%,10%,0%,None,48
Butcher Apprentice,5%,70%,10%,10%,5%,Highschool,44
Butcher,5%,70%,10%,15%,5%,Highschool,44
Butchers,5%,80%,5%,10%,5%,Highschool,44
Buzzsaw Operator,5%,80%,5%,5%,5%,Highschool,31
C++ Professor,40%,20%,30%,10%,0%,PhD,61
C-CYFSW,20%,30%,30%,60%,10%,Bachelors,62
C-SWHC,70%,10%,10%,5%,5%,Bachelors,54
C.N.A.,10%,60%,10%,20%,0%,Professional Certificate,62
Cab Driver,5%,70%,10%,15%,0%,None,48
Cabinet Builder,5%,70%,15%,5%,5%,Highschool,33
Cabinet Finisher,5%,60%,20%,10%,5%,Highschool,33
Cabinetmaker,5%,60%,25%,5%,5%,Highschool,33
Cable Television Installer,20%,60%,10%,10%,0%,Highschool,51
Cadastral Mapper,70%,20%,10%,5%,5%,Associates,54
Cafe Server,10%,70%,5%,15%,0%,Highschool,72
Cafeteria Cook,5%,70%,10%,10%,5%,Highschool,72
Cafeteria Director,20%,30%,20%,20%,10%,Associates,72
Cafeteria Server,5%,80%,5%,10%,0%,Highschool,72
Cage Cashier,20%,60%,10%,10%,0%,Highschool,71
Calculus Professor,30%,20%,40%,10%,0%,PhD,61
Calibration Technician,30%,40%,20%,5%,5%,Associates,54
Calibration Technologist,30%,40%,20%,5%,5%,Associates,54
Calibration technologists and technicians,40%,30%,20%,5%,5%,Associates,54
Calligrapher,20%,60%,20%,10%,5%,Professional Certificate,71
Campaign Fundraiser,40%,20%,20%,20%,10%,Bachelors,81
Camp Cook,5%,70%,15%,10%,0%,Highschool,72
Camp Counselor,10%,40%,20%,30%,10%,Highschool,71
Campus Police Officer,10%,40%,20%,30%,5%,Associates,61
Cancer Registrar,70%,20%,5%,5%,0%,Associates,62
Cancer Researcher,30%,20%,40%,10%,0%,PhD,62
Candy Maker,5%,60%,20%,10%,5%,Highschool,31
Candy Puller,5%,70%,10%,15%,0%,Highschool,31
Cane Cutter,0%,90%,5%,5%,0%,None,11
Cane Flume Chute Operator,5%,70%,10%,5%,10%,Highschool,11
Car Alarm Installer,10%,70%,10%,10%,0%,Highschool,81
Car Body Designer,40%,20%,30%,5%,5%,Bachelors,33
Carburizing Furnace Operator,5%,70%,15%,5%,5%,Highschool,33
Cardiac/Vascular Sonographer,20%,40%,20%,15%,5%,Associates,62
Cardiac Catheterization Laboratory Technologist,30%,40%,20%,10%,0%,Professional Certificate,62
Cardiac Catheterization Technologist,30%,40%,20%,10%,0%,Professional Certificate,62
Cardiac Monitor Technician,40%,40%,10%,10%,0%,Associates,62
Cardiac Surgeon,5%,30%,50%,10%,5%,Doctorate,62
Cardiac Technician,30%,40%,20%,10%,0%,Associates,62
Cardiology Nurse Practitioner,20%,30%,30%,20%,0%,Professional Certificate,62
Cardiopulmonary Physical Therapist,10%,30%,40%,20%,0%,Doctorate,62
Cardiopulmonary Technologist,20%,40%,20%,20%,0%,Associates,62
Cardiovascular Interventional Technologist,20%,40%,20%,15%,5%,Professional Certificate,62
Cardiovascular Surgeon,5%,20%,50%,20%,5%,Doctorate,62
Cardiovascular Technologist,30%,40%,20%,10%,0%,Associates,62
Cardroom Manager,20%,30%,20%,20%,10%,Highschool,71
Cardroom Supervisor,10%,40%,20%,20%,10%,Highschool,71
Card Table Attendant,5%,70%,10%,15%,0%,Highschool,71
Career and technical education teachers,30%,20%,25%,20%,5%,Bachelors,61
Career Counselor,30%,20%,30%,20%,10%,Masters,61
Career Technical Counselor,40%,20%,20%,20%,0%,Masters,61
Car Ferry Captain,10%,40%,20%,20%,10%,Professional Certificate,48
Car Ferry Master,10%,40%,20%,20%,10%,Professional Certificate,48
Cargo Handler,10%,70%,5%,15%,0%,Highschool,48
Caricature Artist,40%,30%,60%,70%,10%,Professional Certificate,71
Carpenter Assistant,5%,70%,10%,10%,5%,Highschool,23
Carpenter Helper,5%,70%,10%,15%,0%,Highschool,23
Carpenters,5%,70%,15%,5%,5%,Highschool,23
Carpentry Instructor,10%,30%,20%,30%,10%,Professional Certificate,61
Carpet Layer,5%,70%,10%,10%,5%,Highschool,23
Carpet Layer Helper,5%,70%,10%,15%,0%,Highschool,23
Car Refinisher,5%,70%,15%,5%,5%,Professional Certificate,81
Carrot Harvester,5%,80%,5%,5%,5%,None,11
Car Stereo Installer,10%,70%,10%,10%,0%,Highschool,44
Cartographers and photogrammetrists,70%,20%,70%,20%,10%,Bachelors,54
Cartographic Aide,60%,20%,15%,5%,0%,Associates,54
Cartographic Technician,70%,20%,10%,5%,5%,Associates,54
Cartography Professor,40%,20%,30%,10%,0%,PhD,61
Carton Wrapper,5%,85%,5%,5%,0%,None,31
Cart Pusher,5%,90%,5%,10%,0%,None,44
Car Wash Attendant,5%,70%,5%,20%,0%,None,81
Car Washer,5%,85%,5%,5%,0%,None,81
Case Work Aide,20%,40%,20%,20%,0%,Associates,62
Cashiers,10%,70%,5%,15%,0%,Highschool,44
Cash Register Operator,10%,80%,5%,5%,0%,Highschool,44
Casino Cage Cashier,20%,60%,10%,10%,0%,Highschool,71
Casino Cashier,30%,60%,5%,40%,5%,Highschool,71
Casino Dealer,5%,70%,10%,15%,0%,Highschool,71
Casino Floor Runner,10%,70%,10%,60%,5%,Highschool,71
Casino Games Dealer,5%,70%,10%,15%,0%,Highschool,71
Casino Investigator,30%,40%,20%,10%,0%,Associates,71
Casino Manager,30%,20%,20%,20%,10%,Bachelors,71
Casino Slot Supervisor,20%,40%,20%,60%,40%,Highschool,71
Casino Supervisor,20%,40%,20%,60%,40%,Highschool,71
Casino Surveillance Officer,40%,40%,10%,10%,0%,Highschool,71
Casting Director,20%,10%,30%,30%,10%,Bachelors,71
Cataloging Library Technical Assistant,60%,30%,5%,5%,0%,Associates,51
Catalog Librarian,60%,30%,40%,20%,10%,Masters,51
Catalogue Clerk,70%,60%,20%,10%,5%,Highschool,45
Cat and Dog Bather,5%,70%,5%,20%,0%,None,81
Cat Breeder,10%,40%,20%,20%,10%,None,11
Cattle Brander,5%,70%,10%,15%,0%,None,11
Cattle Buyer,10%,40%,20%,20%,10%,Highschool,11
Cattle Driver,5%,60%,10%,15%,10%,Highschool,11
CCU Nurse,10%,40%,30%,20%,0%,Bachelors,62
Ceiling Insulation Blower,5%,70%,10%,10%,5%,Highschool,23
Cellist,5%,60%,30%,5%,0%,Bachelors,71
Cellulose Insulation Helper,5%,70%,10%,10%,5%,Highschool,23
Cement Mason,5%,70%,10%,10%,5%,Highschool,23
Cement Patcher,5%,70%,10%,10%,5%,Highschool,23
Cement Truck Driver,5%,70%,10%,10%,5%,Highschool,23
Census Clerk,70%,60%,30%,20%,10%,Highschool,92
Census Taker,20%,60%,10%,10%,0%,Highschool,92
CEO,40%,5%,25%,20%,10%,Masters,55
Ceramic Designer,20%,30%,40%,10%,0%,Bachelors,32
Ceramic Engineer,20%,30%,30%,10%,10%,Bachelors,32
Ceramic Engineering Professor,20%,10%,40%,20%,10%,PhD,61
Ceramic Mold Designer,30%,40%,20%,5%,5%,Associates,32
Ceramic Painter,5%,60%,30%,5%,0%,Highschool,33
Ceramic Tile Installation Helper,5%,70%,10%,15%,0%,Highschool,23
Ceramic Tile Installer,5%,70%,15%,10%,5%,Professional Certificate,23
Certified Abuse and Drug Addiction Counselor,10%,20%,40%,30%,10%,Professional Certificate,62
Certified Alcohol and Drug Counselor,20%,30%,30%,70%,10%,Professional Certificate,62
Certified Athletic Trainer,10%,30%,20%,40%,10%,Bachelors,61
Certified Biomedical Equipment Technician,30%,40%,20%,5%,5%,Associates,62
"Certified Children, Youth, and Family Social Worker",20%,30%,25%,60%,10%,Masters,62
Certified Corporate Travel Executive,40%,20%,20%,10%,10%,Bachelors,56
Certified Dental Assistant,10%,60%,10%,20%,0%,Professional Certificate,62
Certified Detention Deputy,10%,40%,20%,30%,10%,Professional Certificate,92
Certified Diabetes Educator,20%,30%,25%,25%,0%,Professional Certificate,62
Certified Financial Planner,40%,20%,30%,60%,20%,Professional Certificate,52
Certified Fire and Explosion Investigator,20%,30%,40%,10%,0%,Professional Certificate,92
Certified Fire Investigator,20%,30%,40%,10%,10%,Professional Certificate,92
Certified Genetic Counselor,30%,20%,30%,20%,0%,Masters,62
Certified Health Education Specialist,30%,20%,30%,20%,10%,Bachelors,62
Certified Indoor Environmentalist,30%,20%,30%,20%,10%,Professional Certificate,54
Certified Industrial Hygienist,30%,20%,30%,15%,5%,Masters,62
Certified Kitchen Designer,40%,20%,30%,10%,0%,Professional Certificate,23
Certified Legal Investigator,30%,20%,30%,20%,10%,Professional Certificate,54
Certified Legal Secretary Specialist,40%,30%,20%,10%,0%,Professional Certificate,54
Certified Maintenance Welder,5%,70%,15%,10%,0%,Professional Certificate,23
Certified Marine Mechanic,10%,60%,20%,10%,5%,Professional Certificate,71
Certified Medical Assistant,20%,40%,20%,20%,0%,Professional Certificate,62
Certified Medical Dosimetrist,40%,30%,20%,10%,0%,Professional Certificate,62
Certified Medical Transcriptionist,70%,20%,5%,5%,0%,Professional Certificate,62
Certified Meeting Professional,30%,20%,20%,30%,20%,Professional Certificate,71
Certified Mortician,10%,40%,20%,20%,10%,Professional Certificate,81
Certified Nuclear Medicine Technologist,30%,40%,20%,10%,0%,Professional Certificate,62
Certified Nurse Aide,10%,60%,10%,20%,0%,Professional Certificate,62
Certified Nurse Midwife (CNM),10%,30%,30%,30%,10%,Masters,62
Certified Nurse Midwife,10%,30%,30%,30%,10%,Masters,62
Certified Nurse Practitioner,20%,30%,25%,25%,5%,Masters,62
Certified Nursing Assistant,10%,60%,10%,20%,0%,Professional Certificate,62
Certified Occupational Rehabilitation Aide,20%,30%,20%,30%,0%,Professional Certificate,62
Certified Occupational Therapy Assistant,10%,40%,20%,30%,0%,Associates,62
Certified Optician,20%,40%,20%,20%,0%,Professional Certificate,44
Certified Orthotic Fitter,20%,40%,20%,20%,0%,Professional Certificate,62
Certified Pediatric Nurse Practitioner,20%,30%,30%,70%,10%,Professional Certificate,62
Certified Personal Chef,10%,40%,20%,20%,10%,Professional Certificate,72
Certified Personal Trainer,10%,40%,20%,30%,5%,Professional Certificate,71
Certified Pesticide Applicator,10%,60%,20%,10%,0%,Professional Certificate,11
Certified Pharmacy Technician,30%,40%,20%,10%,0%,Professional Certificate,44
Certified Phlebotomy Technician,10%,70%,10%,10%,0%,Professional Certificate,62
Certified Physician's Assistant,20%,40%,20%,20%,0%,Professional Certificate,62
Certified Professional Ergonomist,30%,20%,40%,10%,0%,Masters,54
Certified Prosthetist/Orthotist,20%,30%,30%,15%,5%,Professional Certificate,62
Certified Public Accountant,40%,30%,20%,10%,10%,Professional Certificate,54
Certified Recreational Therapist,10%,30%,30%,30%,10%,Bachelors,62
Certified Registered Nurse Anesthetist (CRNA),10%,30%,40%,20%,0%,Doctorate,62
